Car_ID,Model,Production_Date,Color,Price
103,Model X,2021-11-14,SILVER,114103.37
104,Model Y,2022-10-18,WHITE,58521.43
105,Model Y,2021-10-14,WHITE,57794.39
106,Model S,2022-06-15,WHITE,130152.73
107,Model 3,2021-10-16,WHITE,42369.53
108,Model Y,2023-06-10,SILVER,54180.17
109,Model Y,2022-04-21,GREY,52377.58
110,Model Y,2023-03-18,WHITE,53291.09
111,Model 3,2023-04-11,RED,45538.96
112,Model X,2022-12-05,WHITE,112379.47
113,Model Y,2022-04-30,SILVER,57854.32
114,Model S,2023-04-16,SILVER,130611.79
115,Model X,2022-03-31,WHITE,90263.47
116,Model S,2022-04-16,RED,139441.77
117,Model 3,2023-05-14,GREY,49119.4
118,Model Y,2021-12-30,SILVER,50718.14
119,Model S,2022-09-05,GREY,102413.88
120,Model X,2023-02-09,GREY,96026.45
121,Model Y,2022-09-13,GREY,53673.81
122,Model S,2022-05-24,SILVER,115498.36
123,Model S,2022-06-04,WHITE,107574.98
124,Model X,2023-04-13,RED,137664.51
125,Model 3,2022-05-21,SILVER,55089.43
126,Model 3,2023-01-12,WHITE,47829.9
127,Model S,2022-02-07,WHITE,113418.17
128,Model X,2021-08-17,BLACK,118261.19
129,Model Y,2023-02-27,SILVER,50716.07
130,Model X,2022-05-16,GREY,124981.24
131,Model Y,2022-01-26,WHITE,58985.35
132,Model S,2023-06-07,WHITE,103108.72
133,Model X,2022-06-12,GREY,120307.82
134,Model Y,2021-12-29,SILVER,57087.15
135,Model 3,2022-01-24,WHITE,55285.0
136,Model S,2022-05-11,SILVER,95804.66
137,Model 3,2022-10-10,BLACK,42476.94
138,Model X,2023-06-17,SILVER,126072.05
139,Model 3,2022-06-29,WHITE,40468.66
140,Model Y,2021-11-24,WHITE,59316.75
141,Model X,2021-08-24,WHITE,125846.26
142,Model S,2023-01-14,GREY,99724.55
143,Model X,2023-02-10,WHITE,117466.57
144,Model S,2022-03-11,SILVER,83992.16
145,Model Y,2021-10-14,BLACK,53157.05
146,Model Y,2022-10-17,GREY,53599.55
147,Model Y,2023-03-17,SILVER,53094.62
148,Model S,2022-12-30,WHITE,102943.22
149,Model S,2021-09-30,GREY,136832.91
150,Model X,2021-11-09,GREY,93831.84
151,Model S,2023-06-17,SILVER,99664.85
152,Model 3,2023-06-27,BLACK,43548.47
153,Model Y,2022-02-13,WHITE,60272.17
154,Model Y,2021-12-12,GREY,54697.96
155,Model X,2022-02-27,WHITE,129395.39
156,Model X,2022-07-09,BLACK,115860.96
157,Model X,2021-11-17,RED,148399.84
158,Model S,2022-07-25,BLACK,111863.34
159,Model S,2022-02-20,WHITE,100976.95
160,Model X,2023-01-22,SILVER,95904.89
161,Model S,2023-07-01,WHITE,95476.87
162,Model X,2021-11-02,BLACK,146872.12
163,Model 3,2021-11-10,WHITE,43135.89
164,Model 3,2023-01-21,RED,50824.31
165,Model 3,2022-05-02,GREY,41324.6
166,Model S,2023-01-29,GREY,108064.43
167,Model X,2023-02-14,GREY,93680.99
168,Model X,2022-05-02,SILVER,118279.68
169,Model S,2022-07-06,SILVER,96132.31
170,Model Y,2022-04-07,WHITE,60968.55
171,Model Y,2022-01-24,SILVER,52641.41
172,Model S,2021-11-13,RED,104288.28
173,Model S,2022-04-10,SILVER,84348.63
174,Model Y,2023-04-11,WHITE,55249.93
175,Model Y,2023-06-19,SILVER,59580.21
176,Model Y,2021-10-13,BLACK,58597.1
177,Model X,2022-02-12,BLACK,128509.43
178,Model Y,2021-10-18,BLACK,55371.99
179,Model S,2022-11-09,WHITE,126637.12
180,Model S,2023-02-09,SILVER,107761.68
181,Model S,2023-03-14,RED,129181.62
182,Model X,2023-03-09,SILVER,138369.98
183,Model Y,2023-03-05,RED,56763.62
184,Model Y,2022-12-07,GREY,58514.54
185,Model Y,2022-05-29,GREY,56008.39
186,Model S,2022-01-19,RED,138041.6
187,Model Y,2023-01-12,RED,56495.58
188,Model S,2022-07-28,BLACK,128296.63
189,Model Y,2023-04-18,GREY,59000.74
190,Model S,2022-07-24,RED,138132.47
191,Model Y,2022-06-10,WHITE,55916.97
192,Model 3,2023-01-19,SILVER,40973.31
193,Model X,2022-08-02,RED,130066.76
194,Model Y,2022-04-05,WHITE,52675.69
195,Model X,2022-07-07,BLACK,129627.84
196,Model 3,2023-05-24,WHITE,52023.41
197,Model S,2021-10-29,RED,102813.81
198,Model X,2022-09-23,GREY,146791.69
199,Model Y,2022-07-15,WHITE,59072.66
200,Model X,2022-03-15,SILVER,130376.47
201,Model Y,2023-01-05,RED,51329.02
202,Model 3,2022-09-15,GREY,45957.63
203,Model X,2023-05-21,RED,105842.64
204,Model X,2022-07-26,SILVER,104699.38
205,Model Y,2021-09-29,SILVER,51203.36
206,Model X,2022-10-21,SILVER,147920.29
207,Model 3,2021-09-20,WHITE,55377.03
208,Model Y,2023-02-12,SILVER,57331.26
209,Model X,2022-11-22,GREY,99878.24
210,Model S,2023-06-03,SILVER,118325.39
211,Model S,2021-11-19,GREY,100965.37
212,Model 3,2021-12-16,RED,43156.64
213,Model X,2022-07-05,GREY,109281.44
214,Model 3,2022-11-27,BLACK,40005.4
215,Model X,2022-07-17,GREY,101246.12
216,Model X,2021-07-19,SILVER,123697.3
217,Model 3,2023-03-20,WHITE,56496.25
218,Model 3,2023-03-29,SILVER,41646.65
219,Model Y,2021-10-15,BLACK,54729.07
220,Model Y,2023-05-09,SILVER,56685.49
221,Model 3,2023-03-20,BLACK,46757.18
222,Model S,2023-02-12,GREY,124986.7
223,Model 3,2021-12-02,BLACK,55439.26
224,Model S,2023-01-08,RED,94969.69
225,Model X,2021-08-28,BLACK,141436.02
226,Model Y,2022-02-21,SILVER,52388.85
227,Model Y,2023-05-27,SILVER,60923.5
228,Model X,2021-09-05,RED,109810.97
229,Model S,2022-10-12,WHITE,97672.41
230,Model S,2023-02-11,WHITE,92049.06
231,Model 3,2022-05-17,WHITE,42950.92
232,Model 3,2022-10-02,WHITE,44473.79
233,Model 3,2022-12-27,GREY,49758.18
234,Model 3,2023-07-09,BLACK,47664.31
235,Model 3,2022-12-20,BLACK,40014.12
236,Model 3,2021-10-17,GREY,54905.31
237,Model 3,2023-05-23,GREY,43013.86
238,Model 3,2021-12-11,WHITE,43150.58
239,Model Y,2023-04-10,SILVER,58861.44
240,Model X,2022-03-26,GREY,145453.4
241,Model X,2023-06-08,GREY,113705.64
242,Model 3,2022-03-21,BLACK,46233.29
243,Model S,2022-08-18,RED,130778.57
244,Model X,2022-10-01,GREY,104703.44
245,Model Y,2023-01-05,WHITE,50089.1
246,Model Y,2021-09-18,BLACK,57992.86
247,Model X,2022-12-22,GREY,113047.36
248,Model S,2022-10-30,WHITE,125806.14
249,Model S,2021-12-29,GREY,135265.01
250,Model X,2021-07-22,RED,111708.35
251,Model X,2022-11-08,BLACK,130822.92
252,Model X,2023-05-11,GREY,147553.29
253,Model 3,2023-04-13,RED,52466.77
254,Model S,2022-02-27,GREY,126544.61
255,Model Y,2023-03-06,WHITE,53785.65
256,Model S,2023-05-05,RED,82656.51
257,Model X,2022-12-04,RED,102855.98
258,Model Y,2023-03-07,GREY,52950.94
259,Model S,2022-03-17,SILVER,108209.39
260,Model 3,2021-11-05,RED,47250.17
261,Model Y,2022-10-12,RED,53459.03
262,Model Y,2023-06-11,BLACK,60810.22
263,Model S,2021-10-04,GREY,93010.11
264,Model Y,2022-08-25,RED,54511.46
265,Model 3,2022-04-26,BLACK,48234.02
266,Model 3,2021-12-14,GREY,46076.13
267,Model X,2022-01-10,WHITE,110458.18
268,Model S,2021-09-21,BLACK,127311.85
269,Model 3,2022-09-24,BLACK,54669.02
270,Model Y,2023-03-21,BLACK,51565.32
271,Model 3,2022-01-02,WHITE,41848.95
272,Model X,2023-01-11,WHITE,98865.73
273,Model Y,2022-02-24,GREY,57083.57
274,Model X,2021-12-04,WHITE,140973.79
275,Model X,2021-11-19,BLACK,124099.31
276,Model S,2022-05-08,RED,97817.51
277,Model Y,2021-08-27,RED,52054.28
278,Model 3,2022-06-01,SILVER,46995.03
279,Model S,2022-09-02,RED,127892.07
280,Model X,2022-03-22,RED,147680.23
281,Model X,2023-06-27,BLACK,120471.77
282,Model X,2022-09-06,BLACK,120112.62
283,Model 3,2022-09-06,RED,45227.51
284,Model 3,2021-09-10,BLACK,56144.98
285,Model X,2021-11-17,SILVER,130106.59
286,Model X,2023-05-25,BLACK,109435.5
287,Model Y,2022-03-15,WHITE,54851.39
288,Model 3,2022-03-26,SILVER,49897.4
289,Model 3,2022-03-16,RED,47659.31
290,Model X,2021-10-18,GREY,115946.12
291,Model X,2022-08-24,GREY,145754.85
292,Model Y,2023-05-17,SILVER,58454.6
293,Model X,2021-07-31,WHITE,143764.4
294,Model 3,2021-08-10,RED,49213.77
295,Model S,2023-05-06,WHITE,91673.09
296,Model 3,2021-10-15,WHITE,40740.99
297,Model Y,2022-05-27,WHITE,54778.33
298,Model Y,2021-09-30,WHITE,54527.86
299,Model S,2022-10-25,GREY,112858.69
300,Model 3,2022-11-27,WHITE,48289.63
301,Model Y,2021-08-03,RED,56381.69
302,Model S,2022-01-17,WHITE,116752.29
303,Model 3,2023-01-21,RED,49165.71
304,Model Y,2023-02-28,SILVER,53200.48
305,Model 3,2022-06-30,BLACK,42002.08
306,Model X,2022-09-02,SILVER,140844.7
307,Model 3,2021-07-31,WHITE,43637.2
308,Model 3,2022-05-03,RED,40984.14
309,Model X,2022-04-13,BLACK,115360.63
310,Model Y,2023-02-11,RED,56319.35
311,Model S,2021-08-25,GREY,93481.16
312,Model 3,2022-04-12,SILVER,43993.57
313,Model Y,2023-02-02,WHITE,52210.18
314,Model Y,2022-03-05,SILVER,57791.85
315,Model 3,2022-10-23,GREY,41126.47
316,Model S,2022-08-29,RED,83347.53
317,Model 3,2022-03-11,RED,40946.87
318,Model Y,2022-10-05,WHITE,52193.58
319,Model Y,2023-04-29,SILVER,59594.78
320,Model S,2021-08-10,SILVER,84367.75
321,Model Y,2021-08-21,GREY,54043.74
322,Model Y,2021-10-26,GREY,60118.85
323,Model S,2023-05-07,SILVER,91372.7
324,Model S,2023-03-01,GREY,89004.61
325,Model S,2022-07-09,BLACK,127491.55
326,Model Y,2023-07-05,BLACK,52871.96
327,Model 3,2023-04-08,BLACK,46121.55
328,Model S,2021-10-17,WHITE,135401.44
329,Model X,2022-06-22,BLACK,104559.16
330,Model 3,2022-08-13,BLACK,45028.83
331,Model X,2023-06-21,WHITE,114573.36
332,Model S,2021-07-23,GREY,117477.66
333,Model X,2023-01-09,SILVER,148612.96
334,Model 3,2021-10-31,RED,41204.05
335,Model Y,2022-06-14,RED,52521.11
336,Model S,2022-02-18,GREY,84479.11
337,Model S,2022-06-18,GREY,103309.22
338,Model X,2022-05-24,WHITE,147356.06
339,Model X,2023-02-19,WHITE,100781.33
340,Model Y,2022-12-03,GREY,55680.43
341,Model 3,2021-09-17,GREY,45343.36
342,Model Y,2022-01-27,RED,59851.72
343,Model S,2021-12-05,SILVER,86757.39
344,Model X,2021-09-25,BLACK,101634.26
345,Model S,2021-08-21,BLACK,84876.33
346,Model 3,2023-05-24,BLACK,54664.84
347,Model 3,2022-12-13,WHITE,50900.51
348,Model S,2022-07-09,SILVER,101053.3
349,Model X,2022-06-19,SILVER,118479.89
350,Model Y,2023-05-25,BLACK,52644.25
351,Model X,2022-02-02,GREY,98714.31
352,Model S,2022-02-06,BLACK,100320.96
353,Model Y,2021-09-18,RED,56397.43
354,Model 3,2023-05-20,SILVER,55361.68
355,Model 3,2022-04-11,SILVER,55803.28
356,Model Y,2022-08-07,BLACK,59937.35
357,Model 3,2022-09-16,SILVER,45416.84
358,Model Y,2022-10-01,RED,53140.15
359,Model S,2021-07-12,GREY,131371.19
360,Model Y,2022-12-15,WHITE,56634.76
361,Model S,2022-10-30,SILVER,82908.42
362,Model S,2022-03-13,SILVER,92751.48
363,Model X,2022-03-30,GREY,123752.59
364,Model S,2021-12-05,GREY,124065.7
365,Model S,2021-12-16,BLACK,82569.84
366,Model X,2023-05-19,BLACK,148101.9
367,Model 3,2022-11-20,GREY,52942.3
368,Model X,2022-06-18,WHITE,92125.01
369,Model S,2022-10-18,WHITE,110441.4
370,Model S,2023-04-09,BLACK,136808.87
371,Model X,2022-07-20,RED,116081.42
372,Model S,2022-11-18,GREY,124778.57
373,Model 3,2021-08-27,BLACK,43293.98
374,Model S,2023-04-26,RED,133586.9
375,Model X,2022-02-18,BLACK,138195.86
376,Model X,2023-03-23,BLACK,93926.85
377,Model S,2022-07-04,GREY,93058.75
378,Model Y,2021-11-27,RED,56267.72
379,Model X,2022-01-25,GREY,121124.57
380,Model X,2023-05-28,SILVER,96443.49
381,Model S,2021-11-22,BLACK,107877.34
382,Model 3,2021-08-03,WHITE,41030.23
383,Model Y,2022-12-26,BLACK,55851.77
384,Model 3,2022-09-25,GREY,41886.87
385,Model Y,2022-09-23,SILVER,57475.31
386,Model Y,2022-06-18,SILVER,57126.31
387,Model S,2021-11-30,BLACK,135465.36
388,Model S,2023-05-30,BLACK,116565.01
389,Model X,2023-04-27,WHITE,102964.13
390,Model X,2022-02-21,SILVER,130515.04
391,Model S,2023-04-23,SILVER,107114.98
392,Model Y,2023-03-01,SILVER,59483.96
393,Model X,2022-11-06,SILVER,145106.01
394,Model X,2021-08-15,BLACK,138022.7
395,Model Y,2022-10-27,RED,59042.74
396,Model X,2022-03-27,GREY,141363.96
397,Model Y,2023-06-03,WHITE,59957.94
398,Model 3,2023-04-13,RED,43433.81
399,Model X,2022-04-30,SILVER,132569.37
400,Model S,2022-03-12,GREY,124960.01
401,Model S,2021-09-06,GREY,115733.85
402,Model Y,2021-11-30,BLACK,55241.23
403,Model 3,2022-07-07,WHITE,53235.8
404,Model S,2022-08-05,SILVER,131277.08
405,Model X,2023-02-04,SILVER,123898.05
406,Model 3,2023-02-15,WHITE,45526.08
407,Model Y,2022-06-26,BLACK,50954.94
408,Model Y,2022-02-28,GREY,53656.53
409,Model Y,2022-03-18,BLACK,53664.44
410,Model S,2023-01-21,SILVER,115984.3
411,Model X,2022-11-13,RED,129246.41
412,Model S,2023-03-18,WHITE,136670.45
413,Model X,2022-11-08,RED,111012.16
414,Model S,2021-11-16,GREY,137030.38
415,Model 3,2022-11-02,GREY,53074.04
416,Model Y,2022-12-22,RED,59177.21
417,Model X,2022-11-25,WHITE,93124.06
418,Model 3,2021-11-06,BLACK,56270.0
419,Model S,2021-12-01,GREY,105969.82
420,Model X,2023-03-27,WHITE,120952.84
421,Model 3,2023-05-02,SILVER,50352.21
422,Model 3,2022-05-03,RED,52615.44
423,Model Y,2023-04-05,SILVER,53877.12
424,Model Y,2023-01-06,WHITE,53846.45
425,Model S,2021-09-11,BLACK,84947.76
426,Model Y,2021-08-13,BLACK,56461.14
427,Model 3,2023-06-01,BLACK,50684.96
428,Model S,2022-09-30,RED,96883.04
429,Model X,2021-08-07,WHITE,145754.96
430,Model S,2022-12-07,WHITE,108151.46
431,Model X,2023-05-23,WHITE,108505.41
432,Model S,2023-05-29,BLACK,124890.11
433,Model 3,2021-07-19,RED,45333.45
434,Model 3,2021-11-26,SILVER,47823.08
435,Model X,2023-04-20,RED,108798.68
436,Model X,2023-02-18,BLACK,96435.78
437,Model 3,2023-01-20,GREY,56374.81
438,Model 3,2022-03-24,RED,50365.51
439,Model X,2023-05-16,BLACK,130866.26
440,Model 3,2021-11-28,BLACK,43147.08
441,Model 3,2022-05-13,SILVER,44191.35
442,Model S,2022-08-23,SILVER,103794.48
443,Model Y,2022-10-23,SILVER,51967.12
444,Model X,2023-01-26,SILVER,103574.85
445,Model Y,2022-09-22,WHITE,59215.96
446,Model X,2023-04-03,BLACK,113594.5
447,Model Y,2022-03-31,BLACK,60419.03
448,Model S,2023-01-30,SILVER,87927.45
449,Model 3,2022-03-01,SILVER,51398.54
450,Model S,2023-07-10,RED,126527.03
451,Model X,2022-12-21,GREY,144504.13
452,Model S,2022-06-03,RED,109299.85
453,Model X,2022-01-30,BLACK,116192.85
454,Model S,2022-11-10,WHITE,104188.61
455,Model Y,2021-09-19,RED,50149.91
456,Model 3,2022-11-01,GREY,48001.99
457,Model X,2022-01-09,SILVER,148306.25
458,Model S,2022-08-17,RED,120950.14
459,Model Y,2022-05-30,GREY,50299.46
460,Model X,2023-07-04,BLACK,101718.53
461,Model 3,2021-07-23,SILVER,44099.07
462,Model S,2023-05-22,BLACK,110816.31
463,Model 3,2022-08-27,WHITE,41495.32
464,Model 3,2022-11-14,SILVER,40885.07
465,Model X,2021-07-27,WHITE,99719.38
466,Model S,2021-10-26,BLACK,84118.51
467,Model 3,2022-11-30,SILVER,43907.7
468,Model Y,2021-09-26,BLACK,53293.58
469,Model Y,2023-03-08,SILVER,50271.94
470,Model X,2022-01-14,WHITE,125596.47
471,Model S,2022-04-18,RED,117007.25
472,Model 3,2023-03-03,GREY,52798.2
473,Model S,2023-04-02,GREY,137077.76
474,Model S,2023-01-24,GREY,126195.12
475,Model 3,2023-04-23,WHITE,47647.56
476,Model X,2023-01-03,SILVER,145625.25
477,Model S,2022-02-09,GREY,99947.28
478,Model X,2022-02-07,GREY,91999.01
479,Model Y,2022-05-31,BLACK,53444.55
480,Model S,2023-05-30,WHITE,94310.0
481,Model X,2021-07-20,GREY,90863.82
482,Model 3,2023-07-01,SILVER,47690.83
483,Model X,2023-04-25,BLACK,115810.17
484,Model X,2021-10-08,WHITE,106270.48
485,Model 3,2022-07-14,RED,44794.78
486,Model Y,2021-09-05,WHITE,51085.42
487,Model X,2023-03-28,RED,132841.46
488,Model 3,2022-06-08,WHITE,41044.14
489,Model S,2022-10-27,GREY,110916.6
490,Model Y,2022-08-03,SILVER,53658.69
491,Model X,2021-11-18,SILVER,103965.67
492,Model Y,2023-04-03,RED,51645.82
493,Model X,2023-06-20,BLACK,120349.72
494,Model Y,2022-08-18,GREY,53574.45
495,Model S,2022-01-09,SILVER,90947.94
496,Model X,2021-08-23,BLACK,103283.91
497,Model Y,2022-02-03,BLACK,52105.68
498,Model 3,2022-06-02,RED,54892.1
499,Model X,2023-02-02,RED,136178.86
500,Model S,2021-09-29,BLACK,124150.0
501,Model S,2022-09-04,WHITE,133439.67
502,Model 3,2021-10-16,GREY,53749.79
503,Model 3,2023-06-26,BLACK,53192.38
504,Model S,2021-09-16,WHITE,119479.27
505,Model Y,2022-12-30,WHITE,52434.16
506,Model 3,2021-08-25,RED,55769.41
507,Model X,2021-10-12,SILVER,98451.24
508,Model 3,2022-11-22,RED,49912.73
509,Model X,2022-04-08,GREY,125362.75
510,Model Y,2021-11-20,WHITE,51256.84
511,Model Y,2022-03-20,SILVER,51490.74
512,Model S,2022-07-02,WHITE,107882.24
513,Model Y,2021-09-05,WHITE,53263.8
514,Model X,2022-05-22,BLACK,123854.13
515,Model 3,2022-09-20,BLACK,49392.35
516,Model X,2021-09-21,BLACK,107905.27
517,Model S,2022-01-20,GREY,109372.87
518,Model Y,2022-10-10,WHITE,60047.42
519,Model X,2022-11-06,SILVER,128017.9
520,Model X,2021-10-18,BLACK,126808.87
521,Model 3,2023-05-17,WHITE,48200.85
522,Model X,2021-07-30,RED,116059.62
523,Model S,2022-05-30,GREY,90650.12
524,Model 3,2021-11-23,SILVER,42411.06
525,Model X,2023-04-04,RED,128851.03
526,Model X,2022-01-09,RED,139043.69
527,Model X,2021-10-05,RED,148525.66
528,Model S,2022-09-17,SILVER,102848.13
529,Model 3,2022-05-15,BLACK,53410.74
530,Model S,2021-10-09,SILVER,102241.23
531,Model X,2021-07-26,GREY,144813.73
532,Model 3,2021-08-23,BLACK,52649.73
533,Model X,2021-09-29,BLACK,121999.5
534,Model X,2022-11-08,RED,109952.96
535,Model Y,2022-05-12,RED,54798.86
536,Model S,2022-10-03,SILVER,129492.26
537,Model Y,2023-02-13,WHITE,52992.81
538,Model X,2022-04-16,WHITE,114252.34
539,Model 3,2021-08-24,RED,54250.36
540,Model S,2022-12-26,RED,84735.38
541,Model Y,2022-07-09,WHITE,53052.19
542,Model X,2022-07-26,WHITE,149759.78
543,Model S,2021-11-27,WHITE,89168.97
544,Model Y,2022-04-08,GREY,58820.09
545,Model X,2022-10-24,WHITE,148863.52
546,Model 3,2023-07-10,BLACK,43131.04
547,Model X,2021-11-10,SILVER,107981.5
548,Model X,2022-04-13,RED,104611.58
549,Model Y,2023-02-17,RED,50807.48
550,Model X,2022-01-22,WHITE,138348.83
551,Model Y,2022-01-03,BLACK,55896.77
552,Model X,2021-07-25,SILVER,137481.59
553,Model Y,2022-10-25,SILVER,53479.07
554,Model Y,2022-09-13,GREY,54467.54
555,Model X,2022-01-14,GREY,101442.22
556,Model X,2022-07-17,GREY,132784.65
557,Model 3,2022-05-06,GREY,50150.65
558,Model X,2022-07-20,WHITE,97468.0
559,Model X,2023-01-07,RED,96925.52
560,Model 3,2022-02-26,WHITE,45927.53
561,Model Y,2022-05-07,GREY,54189.92
562,Model X,2022-10-26,BLACK,121736.86
563,Model Y,2022-04-15,SILVER,60838.19
564,Model Y,2022-01-15,BLACK,56944.1
565,Model S,2022-03-09,GREY,122459.29
566,Model Y,2023-02-03,RED,56738.4
567,Model S,2022-07-11,WHITE,113613.27
568,Model X,2022-08-14,SILVER,90191.73
569,Model Y,2023-02-28,GREY,57318.31
570,Model X,2023-01-25,SILVER,102741.62
571,Model 3,2022-10-29,SILVER,43811.89
572,Model X,2023-04-06,GREY,96943.43
573,Model Y,2022-01-24,SILVER,54172.0
574,Model Y,2022-06-01,RED,60660.04
575,Model 3,2022-09-19,RED,46441.24
576,Model 3,2021-09-23,WHITE,56291.02
577,Model X,2021-07-11,BLACK,110843.14
578,Model X,2021-08-16,RED,103346.44
579,Model S,2022-06-29,BLACK,104087.11
580,Model X,2021-08-11,WHITE,127922.74
581,Model 3,2022-04-19,SILVER,41757.13
582,Model 3,2021-12-07,GREY,54665.98
583,Model 3,2022-02-02,RED,53292.08
584,Model Y,2021-08-25,WHITE,57955.83
585,Model S,2022-03-18,SILVER,91105.86
586,Model 3,2022-06-12,RED,55104.7
587,Model X,2021-08-21,WHITE,112108.57
588,Model Y,2023-04-08,GREY,58037.55
589,Model S,2022-08-20,RED,116462.47
590,Model 3,2021-11-28,BLACK,51609.82
591,Model Y,2022-06-12,RED,56371.16
592,Model Y,2022-08-23,SILVER,50962.56
593,Model Y,2023-03-11,RED,53301.95
594,Model S,2022-06-26,SILVER,129926.71
595,Model X,2023-01-08,GREY,101595.19
596,Model S,2021-11-27,SILVER,80750.22
597,Model 3,2021-09-05,SILVER,47149.01
598,Model 3,2022-02-03,SILVER,53382.85
599,Model X,2023-04-26,SILVER,93243.05
600,Model S,2023-03-14,SILVER,131651.62
601,Model X,2023-06-15,BLACK,97169.87
602,Model 3,2021-12-11,WHITE,50091.07
603,Model 3,2022-12-14,WHITE,53057.78
604,Model X,2023-01-21,WHITE,105402.72
605,Model Y,2023-01-18,GREY,50166.19
606,Model X,2022-11-16,RED,142545.96
607,Model S,2021-12-06,WHITE,99781.61
608,Model X,2022-04-18,WHITE,91903.8
